BatchID;Strasse;Gesamtmenge Wirkstoff in kg;pH - Wert nach beendeter Regelung;Füllstand B4210 nach pH - Wert - Einstellung in L;Füllstand B4220 nach Transfer Lösung in L;pH - Wert nach beendeter Regelung Zitratpuffer;B4210 Standzeit Gereinigt in h;Druck während Isolierung in bar;Waschvolumen Zitratpuffer in L/kg;Netto Masse Kristallisat ohne GWP in g;Brutto Masse Kristallisat A4920/21/28 mit GWP in g;Netto Masse Kristallisat A4920/21/28  mit GWP in g;Füllstand B4210 vor Spülung in L;Füllstand B4210 nach Spülung in L;Füllstand B4210 nach Zitratwäsche in L;eingesetztes Waschvolumen Zitratpuffer in L;F4300 Standzeit sterilisiert in h;Trypsin Klasse;Füllstand B4220 nach pH - Wert - Einstellung in L;pH - Wert B4220 Start Kristallisation;pH - Wert B4220 Ende Kristallisation;Temperatur B4220 Start Kristallisation in °C;Temperatur B4220 Ende Kristallisation in °C;Mittelwert UV - Kurve;Rührerdrehzahl B4220 in U/min;Füllstand B4220 Ende Kristallisation in L;Filtrationsverhalten;pH-Wert Regelung Dauer [min];pH-Wert Regelung Dauer [min/kg];Dauer Lösen [min];Dauer Lösen [min/kg];Dauer bis Kristallisation einsetzt [min];Dauer bis Kristallisation einsetzt [min/kg];Kristallisation Dauer [min];Kristallisation Dauer [min/kg];Verweildauer kristallisiert bis Start Abtrennung [min];Verweildauer kristallisiert bis Start Abtrennung [min/kg];Abtrenndauer ohne Nachwaschen [min];Abtrenndauer ohne Nachwaschen [min/kg];Waschdauer mit Zitratpuffer [min];Waschdauer mit Zitratpuffer [min/kg];Gesamtdauer Start Lösen - Ende Waschen [min];Gesamtdauer Start Lösen - Ende Waschen [min/kg];ZnCl2 Konzentration [mM/L];NaCl Konzentration [mM/L];CTS Konzentration [mM/L];Ammoniumsulfat Konzentrazion [mM/L];Propanol-Konzentration in %;Produktüberführen Dauer [min];Produktüberführen Dauer [min/kg];Gesamte Abtrenndauer [min];Gesamte Abtrenndauer [min/kg]
GP220701A01;A;18,1;3,03;1350,0;1348,0;6,19;36,0;0,94;20,4;36291,0;57719,0;47584,0;487,0;431,0;63,0;368,0;47,0;Trypsin 4.0;1418,0;6,15;5,99;25,8;25,9;78,0;50,0;1418,0;77,25;28;1,55;182;10,06;5;0,28;1165;64,36;3;0,17;94;5,19;157;8,67;1634;90,28;2,81;6,42;4,88;9,39;6,03;0;0,0;251;13,87
GP220701B02;B;18,1;3,03;1346,0;1326,0;6,2;37,0;0,93;20,4;38505,0;52302,0;42135,0;493,0;435,0;67,0;369,0;46,0;Trypsin 4.0;1394,0;6,14;5,98;26,1;26,1;98,0;50,5;1391,0;131,5;23;1,27;165;9,12;14;0,77;1160;64,09;3;0,17;95;5,25;136;7,51;1596;88,18;2,86;6,5;4,98;9,59;6,14;0;0,0;231;12,76
GP220701C03;C;13,2;3,02;1004,0;991,0;6,2;37,0;0,93;20,5;26065,0;44909,0;34748,0;420,0;362,0;92,0;270,0;46,0;Trypsin 4.0;1045,0;6,16;6,0;26,0;25,9;85,0;50,5;1047,0;141,0;25;1,89;150;11,36;9;0,68;1163;88,11;3;0,23;51;3,86;112;8,48;1513;114,62;2,78;6,32;4,83;9,27;6,01;0;0,0;163;12,35
GP220702A01;A;18,3;3,04;1371,0;1371,0;6,23;28,0;0,93;20,4;37301,0;58198,0;48037,0;496,0;439,0;66,0;373,0;39,0;Trypsin 4.0;1443,0;6,16;6,02;26,0;26,1;78,0;50,0;1443,0;77,5;34;1,86;189;10,33;28;1,53;1161;63,44;3;0,16;93;5,08;154;8,42;1662;90,82;2,8;6,36;4,86;9,33;5,99;0;0,0;247;13,5
GP220702B02;B;18,3;3,03;1369,0;1346,0;6,2;29,0;0,93;20,3;38311,0;58225,0;48061,0;485,0;428,0;56,0;372,0;39,0;Trypsin 4.0;1410,0;6,13;5,99;26,0;26,0;97,0;50,5;1410,0;117,5;26;1,42;173;9,45;51;2,79;1155;63,11;3;0,16;93;5,08;142;7,76;1643;89,78;2,86;6,5;4,97;9,54;6,13;0;0,0;235;12,84
GP220702C03;C;13,3;3,02;1021,0;1029,0;6,2;29,0;0,91;20,5;26535,0;45034,0;34901,0;423,0;364,0;91,0;273,0;38,0;Trypsin 4.0;1080,0;6,15;6,02;25,9;26,1;86,0;50,0;1087,0;133,5;31;2,33;173;13,01;52;3,91;1147;86,24;3;0,23;50;3,76;112;8,42;1568;117,89;2,69;6,14;4,69;9,01;5,81;0;0,0;162;12,18
GP220703A01;A;18,1;3,04;1359,0;1357,0;6,22;31,0;0,94;20,3;36566,0;57666,0;47505,0;491,0;436,0;68,0;368,0;41,0;Trypsin 4.0;1426,0;6,14;5,99;26,0;26,1;78,0;50,5;1426,0;88,0;28;1,55;198;10,94;21;1,16;1124;62,1;4;0,22;92;5,08;154;8,51;1621;89,56;2,8;6,34;4,87;9,34;6,0;0;0,0;246;13,59
GP220703B02;B;18,3;3,02;1365,0;1343,0;6,17;31,0;0,93;20,4;38404,0;58196,0;48030,0;489,0;432,0;60,0;373,0;40,0;Trypsin 4.0;1410,0;6,13;5,97;25,9;26,1;98,0;51,0;1409,0;94,3;21;1,15;175;9,56;37;2,02;1132;61,86;3;0,16;94;5,14;143;7,81;1605;87,7;2,87;6,49;4,97;9,55;6,13;0;0,0;237;12,95
GP220703C03;C;13,6;3,04;1041,0;1047,0;6,2;31,0;0,91;20,5;26658,0;45833,0;35700,0;424,0;365,0;87,0;278,0;39,0;Trypsin 4.0;1099,0;6,16;6,01;25,9;26,0;86,0;50,0;1105,0;147,0;28;2,06;174;12,79;39;2,87;1118;82,21;3;0,22;54;3,97;116;8,53;1532;112,65;2,71;6,18;4,72;9,06;5,88;0;0,0;170;12,5
GP220704A01;A;18,5;3,04;1381,0;1381,0;6,18;41,0;0,94;20,3;37205,0;58773,0;48612,0;501,0;445,0;69,0;376,0;28,0;Trypsin 4.0;1454,0;6,15;5,97;25,9;25,9;77,0;50,0;1454,0;77,0;30;1,62;266;14,38;7;0,38;1136;61,41;3;0,16;99;5,35;158;8,54;1699;91,84;2,82;6,38;4,87;9,37;6,01;0;0,0;257;13,89
GP220704B02;B;18,1;3,03;1350,0;1327,0;6,17;41,0;0,93;20,3;38128,0;57734,0;47566,0;486,0;431,0;63,0;367,0;45,0;Trypsin 4.0;1394,0;6,14;5,94;26,0;25,9;98,0;50,5;1392,0;85,0;24;1,33;243;13,43;5;0,28;1099;60,72;3;0,17;102;5,64;139;7,68;1615;89,23;2,87;6,52;4,98;9,57;6,14;0;0,0;241;13,31
GP220704C03;C;13,4;3,02;1018,0;1021,0;6,22;42,0;0,92;20,5;26387,0;45321,0;35187,0;425,0;367,0;92,0;274,0;44,0;Trypsin 4.0;1076,0;6,14;5,95;25,9;26,0;85,0;50,0;1079,0;149,5;25;1,87;201;15,0;7;0,52;1077;80,37;2;0,15;56;4,18;118;8,81;1486;110,9;2,74;6,22;4,75;9,14;5,93;0;0,0;174;12,99
GP220705A01;A;16,6;3,04;1248,0;1243,0;6,19;14,0;0,92;20,4;32463,0;53830,0;43663,0;460,0;403,0;65,0;339,0;24,0;Trypsin 4.0;1315,0;6,15;5,99;25,8;26,1;78,0;50,0;1317,0;102,0;26;1,57;180;10,84;7;0,42;1106;66,63;4;0,24;76;4,58;147;8,86;1546;93,13;2,79;6,3;4,82;9,27;6,0;0;0,0;223;13,43
GP220705B02;B;18,0;3,03;1350,0;1332,0;6,17;15,0;0,93;20,4;37794,0;57491,0;47329,0;482,0;424,0;57,0;367,0;23,0;Trypsin 4.0;1402,0;6,14;5,99;26,0;26,0;98,0;51,0;1396,0;120,5;21;1,17;158;8,78;5;0,28;1135;63,06;3;0,17;89;4,94;141;7,83;1552;86,22;2,85;6,45;4,94;9,49;6,12;0;0,0;230;12,78
GP220705C03;C;13,4;3,01;1023,0;1024,0;6,19;15,0;0,91;20,4;26752,0;45422,0;35238,0;424,0;366,0;92,0;274,0;23,0;Trypsin 4.0;1082,0;6,22;6,08;25,9;26,1;85,0;50,0;1085,0;133,5;27;2,01;126;9,4;5;0,37;1151;85,9;3;0,22;48;3,58;112;8,36;1472;109,85;2,72;6,21;4,73;9,1;5,9;0;0,0;160;11,94
GP220706A01;A;18,1;3,04;1353,0;1354,0;6,19;13,0;0,93;20,4;36450,0;57665,0;47503,0;495,0;437,0;68,0;369,0;26,0;Trypsin 4.0;1424,0;6,16;5,99;26,2;26,2;77,0;50,0;1428,0;106,0;30;1,66;206;11,38;24;1,33;1168;64,53;3;0,17;91;5,03;153;8,45;1675;92,54;2,8;6,35;4,85;9,33;5,99;0;0,0;244;13,48
